student_number,day,start_time,end_time,semester,academic year
1511018,Friday,10:30 AM,13:00 pm,1st semester ,2019-2020
1511018,Friday,11:30 AM,13:00 pm,1st semester ,2019-2020
1511018,Friday,12:30 PM,13:00 pm,1st semester ,2019-2020
1511018,Friday,13:00 pm,13:00 pm,1st semester ,2019-2020
1513057,Friday,14:00 pm,16:30 pm,1st semester ,2019-2020
1513057,Friday,15:00 pm,16:30 pm,1st semester ,2019-2020
1513057,Friday,16:00 pm,16:30 pm,1st semester ,2019-2020
1513057,Friday,16:30 pm,16:30 pm,1st semester ,2019-2020
1813970,Friday,7:30 AM,11:30 AM,1st semester ,2019-2020
1813970,Friday,8:30 AM,11:30 AM,1st semester ,2019-2020
1813970,Friday,9:30 AM,11:30 AM,1st semester ,2019-2020
1813970,Friday,10:30 AM,11:30 AM,1st semester ,2019-2020
1813970,Friday,11:30 AM,11:30 AM,1st semester ,2019-2020
1710267,Friday,13:00 pm,18:30 pm,1st semester ,2019-2020
1710267,Friday,14:30 pm,18:30 pm,1st semester ,2019-2020
1710267,Friday,15:30 pm,18:30 pm,1st semester ,2019-2020
1710267,Friday,18:00 pm,18:30 pm,1st semester ,2019-2020
1710267,Friday,18:30 pm,18:30 pm,1st semester ,2019-2020
1511846,Friday,18: 00 pm,20:30 pm,1st semester ,2019-2020
1511846,Friday,19:00 pm,20:30 pm,1st semester ,2019-2020
1511846,Friday,20:00 pm,20:30 pm,1st semester ,2019-2020
1511846,Friday,20:30 pm,20:30 pm,1st semester ,2019-2020
1510941,Friday,18:00 pm,19:30 pm,1st semester ,2019-2020
1510941,Friday,19:00 pm,19:30 pm,1st semester ,2019-2020
1510941,Friday,19:30 pm,19:30 pm,1st semester ,2019-2020
1511038,Friday,14:00 pm,16:30 pm,1st semester ,2019-2020
1511038,Friday,15:00 pm,16:30 pm,1st semester ,2019-2020
1511038,Friday,16:00 pm,16:30 pm,1st semester ,2019-2020
1511038,Friday,16:30 pm,16:30 pm,1st semester ,2019-2020
1812924,Friday,12:00 PM,15:30 pm,1st semester ,2019-2020
1812924,Friday,13:00 pm,15:30 pm,1st semester ,2019-2020
1812924,Friday,14:00 pm,15:30 pm,1st semester ,2019-2020
1812924,Friday,15:00 pm,15:30 pm,1st semester ,2019-2020
1812924,Friday,15:30 pm,15:30 pm,1st semester ,2019-2020
1812681,Friday,12:00 PM,14:30 pm,1st semester ,2019-2020
1812681,Friday,12:30 PM,14:30 pm,1st semester ,2019-2020
1812681,Friday,13:30 pm,14:30 pm,1st semester ,2019-2020
1812681,Friday,14:30 pm,14:30 pm,1st semester ,2019-2020
1513415,Friday,14:30 pm,16:30 pm,1st semester ,2019-2020
1513415,Friday,15:30 pm,16:30 pm,1st semester ,2019-2020
1513415,Friday,16:30 pm,16:30 pm,1st semester ,2019-2020
1512327,Friday,19:30 pm,21:30 pm,1st semester ,2019-2020
1512327,Friday,20:30 pm,21:30 pm,1st semester ,2019-2020
1512327,Friday,21:30 pm,21:30 pm,1st semester ,2019-2020
1810972,Friday,8:30 AM,18:30 pm,1st semester ,2019-2020
1810972,Friday,9:30 AM,18:30 pm,1st semester ,2019-2020
1810972,Friday,16:30 pm,18:30 pm,1st semester ,2019-2020
1810972,Friday,17:30 pm,18:30 pm,1st semester ,2019-2020
1810972,Friday,18:30 pm,18:30 pm,1st semester ,2019-2020
1811047,Friday,12:30 PM,21:30 pm,1st semester ,2019-2020
1811047,Friday,13:30 pm,21:30 pm,1st semester ,2019-2020
1811047,Friday,20:00 pm,21:30 pm,1st semester ,2019-2020
1811047,Friday,21:00 pm,21:30 pm,1st semester ,2019-2020
1811047,Friday,21:30 pm,21:30 pm,1st semester ,2019-2020
1814012,Friday,7:30 AM,9:30 AM,1st semester ,2019-2020
1814012,Friday,8:30 AM,9:30 AM,1st semester ,2019-2020
1814012,Friday,9:30 AM,9:30 AM,1st semester ,2019-2020
1814111,Friday,11:00 AM,19:30 pm,1st semester ,2019-2020
1814111,Friday,12:00 PM,19:30 pm,1st semester ,2019-2020
1814111,Friday,12:30 PM,19:30 pm,1st semester ,2019-2020
1814111,Friday,17:00 pm,19:30 pm,1st semester ,2019-2020
1814111,Friday,18:00 pm,19:30 pm,1st semester ,2019-2020
1814111,Friday,19:00 pm,19:30 pm,1st semester ,2019-2020
1814111,Friday,19:30 pm,19:30 pm,1st semester ,2019-2020
1811280,Friday,17:30 pm,19:30 pm,1st semester ,2019-2020
1811280,Friday,18:30 pm,19:30 pm,1st semester ,2019-2020
1811280,Friday,19:30 pm,19:30 pm,1st semester ,2019-2020
