student_number,day,start_time,end_time,semester,academic year
1511018,Monday,9:30,11:00 AM,1st semester ,2019-2020
1511018,Monday,10:30,11:00 AM,1st semester ,2019-2020
1511018,Monday,11:00,11:00 AM,1st semester ,2019-2020
1513057,Monday,13:30:00 PM,16:30:00 PM,1st semester ,2019-2020
1513057,Monday,14:30:00 PM,16:30:00 PM,1st semester ,2019-2020
1513057,Monday,15:30:00 PM,16:30:00 PM,1st semester ,2019-2020
1513057,Monday,16:30:00 PM,16:30:00 PM,1st semester ,2019-2020
1511894,Monday,19:30:00 PM,21:30:00 PM,1st semester ,2019-2020
1511894,Monday,20:30:00 PM,21:30:00 PM,1st semester ,2019-2020
1511894,Monday,21:30:00 PM,12:30 PM,1st semester ,2019-2020
1813970,Monday,8:30 AM,12:30 PM,1st semester ,2019-2020
1811045,Monday,14:30:00 PM,19:30:00 PM,1st semester ,2019-2020
1811045,Monday,15:30:00 PM,19:30:00 PM,1st semester ,2019-2020
1811045,Monday,16:30:00 PM,19:30:00 PM,1st semester ,2019-2020
1811045,Monday,17:30:00 PM,19:30:00 PM,1st semester ,2019-2020
1710267,Monday,12:30 PM,18:30:00 PM,1st semester ,2019-2020
1710267,Monday,13:30:00 PM,18:30:00 PM,1st semester ,2019-2020
1710267,Monday,14:30:00 PM,18:30:00 PM,1st semester ,2019-2020
1710267,Monday,15:30:00 PM,18:30:00 PM,1st semester ,2019-2020
1710267,Monday,15:30:00 PM,18:30:00 PM,1st semester ,2019-2020
1710267,Monday,18:30:00 PM,18:30:00 PM,1st semester ,2019-2020
1810263,Monday,13:30,16:30:00 PM,1st semester ,2019-2020
1810263,Monday,14:30,16:30:00 PM,1st semester ,2019-2020
1810263,Monday,15:30,16:30:00 PM,1st semester ,2019-2020
1810263,Monday,16:30,16:30:00 PM,1st semester ,2019-2020
1512280,Monday,13:30:00 PM,17:30:00 PM,1st semester ,2019-2020
1512280,Monday,14:30:00 PM,17:30:00 PM,1st semester ,2019-2020
1512280,Monday,15:30:00 PM,17:30:00 PM,1st semester ,2019-2020
1512280,Monday,16:30:00 PM,17:30:00 PM,1st semester ,2019-2020
1512280,Monday,17:30:00 PM,17:30:00 PM,1st semester ,2019-2020
1413348,Monday,18:30:00 PM,20:00:00 PM,1st semester ,2019-2020
1413348,Monday,19:30:00 PM,20:00:00 PM,1st semester ,2019-2020
1413348,Monday,20:00:00 PM,8:00 PM,1st semester ,2019-2020
1510941,Monday,17:30:00 PM,18:30:00 PM,1st semester ,2019-2020
1510941,Monday,18:30:00 PM,18:30:00 PM,1st semester ,2019-2020
1810806,Monday,9:30 AM,12:30 PM,1st semester ,2019-2020
1810806,Monday,10:30 AM,12:30 PM,1st semester ,2019-2020
1810806,Monday,11:30 AM,12:30 PM,1st semester ,2019-2020
1810806,Monday,12:30 AM,12:30 PM,1st semester ,2019-2020
1511038,Monday,1:30 PM,4:30 PM,1st semester ,2019-2020
1511038,Monday,2:30 PM,4:30 PM,1st semester ,2019-2020
1511038,Monday,3:30 PM,4:30 PM,1st semester ,2019-2020
1511038,Monday,4:30 PM,4:30 PM,1st semester ,2019-2020
1812924,Monday,11:00 AM,3:30 PM,1st semester ,2019-2020
1812924,Monday,12:00 PM,3:30 PM,1st semester ,2019-2020
1812924,Monday,1:30 PM,3:30 PM,1st semester ,2019-2020
1812924,Monday,2:30 PM,3:30 PM,1st semester ,2019-2020
1812924,Monday,3:30 PM,3:30 PM,1st semester ,2019-2020
1812681,Monday,11:30 AM,3:30 PM,1st semester ,2019-2020
1812681,Monday,12:30 PM,3:30 PM,1st semester ,2019-2020
1812681,Monday,1:30 PM,3:30 PM,1st semester ,2019-2020
1812681,Monday,2:30 PM,3:30 PM,1st semester ,2019-2020
1812681,Monday,3:30 PM,3:30 PM,1st semester ,2019-2020
1513415,Monday,1:30 PM,4:30 PM,1st semester ,2019-2020
1513415,Monday,2:30 PM,4:30 PM,1st semester ,2019-2020
1513415,Monday,3:30 PM,4:30 PM,1st semester ,2019-2020
1513415,Monday,4:30 PM,4:30 PM,1st semester ,2019-2020
1512327,Monday,6:30 PM,9:30 PM,1st semester ,2019-2020
1512327,Monday,7:30 PM,9:30 PM,1st semester ,2019-2020
1512327,Monday,8:30 PM,9:30 PM,1st semester ,2019-2020
1512327,Monday,9:30 PM,9:30 PM,1st semester ,2019-2020
1812644,Monday,1:30 PM,4:30 PM,1st semester ,2019-2020
1812644,Monday,2:30 PM,4:30 PM,1st semester ,2019-2020
1812644,Monday,3:30 PM,4:30 PM,1st semester ,2019-2020
1812644,Monday,4:30 PM,4:30 PM,1st semester ,2019-2020
1810972,Monday,8:30 AM,5:30 PM,1st semester ,2019-2020
1810972,Monday,9:30 AM,5:30 PM,1st semester ,2019-2020
1810972,Monday,3:30 AM,5:30 PM,1st semester ,2019-2020
1810972,Monday,4:30 AM,5:30 PM,1st semester ,2019-2020
1810972,Monday,5:30 AM,5:30 PM,1st semester ,2019-2020
1811047,Monday,12:00,9:30 PM,1st semester ,2019-2020
1811047,Monday,13:30,9:30 PM,1st semester ,2019-2020
1811047,Monday,19:30,9:30 PM,1st semester ,2019-2020
1811047,Monday,8:30PM,9:30 PM,1st semester ,2019-2020
1811047,Monday,21:30,9:30 PM,1st semester ,2019-2020
1830026,Monday,10:30 AM,1:30 PM,1st semester ,2019-2020
1830026,Monday,11:30 AM,1:30 PM,1st semester ,2019-2020
1830026,Monday,12:30 PM,1:30 PM,1st semester ,2019-2020
1830026,Monday,1:30 PM,1:30 PM,1st semester ,2019-2020
1814012,Monday,7:30 AM,8:00 PM,1st semester ,2019-2020
1814012,Monday,8:30 AM,8:00 PM,1st semester ,2019-2020
1814012,Monday,9:30 AM,8:00 PM,1st semester ,2019-2020
1814012,Monday,7:30 PM,8:00 PM,1st semester ,2019-2020
1814012,Monday,8:00 PM,8:00 PM,1st semester ,2019-2020
1813690,Monday,8:30 AM,5:30 PM,1st semester ,2019-2020
1813690,Monday,9:30 AM,5:30 PM,1st semester ,2019-2020
1813690,Monday,3:30 PM,5:30 PM,1st semester ,2019-2020
1813690,Monday,4:30 PM,5:30 PM,1st semester ,2019-2020
1813690,Monday,5:30 PM,5:30 PM,1st semester ,2019-2020
1814111,Monday,11:00 AM,1:30 PM,1st semester ,2019-2020
1814111,Monday,12:00 PM,1:30 PM,1st semester ,2019-2020
1814111,Monday,13:00:00 PM,13:30:00 PM,1st semester ,2019-2020
1814111,Monday,13:30:00 PM,13:30:00 PM,1st semester ,2019-2020
1811280,Monday,17:00:00 PM,20:00:00 PM,1st semester ,2019-2020
1811280,Monday,18:00:00 PM,20:00:00 PM,1st semester ,2019-2020
1811280,Monday,19:00:00 PM,20:00:00 PM,1st semester ,2019-2020
1811280,Monday,20:00:00 PM,20:00:00 PM,1st semester ,2019-2020
1813001,Monday,12:00 PM,14:30:00 PM,1st semester ,2019-2020
1813001,Monday,13:00PM,14:30:00 PM,1st semester ,2019-2020
1813001,Monday,14:00:00 PM,14:30:00 PM,1st semester ,2019-2020
1813001,Monday,14:30:00 PM,2:30 PM,1st semester ,2019-2020
1813001,Monday,14:30:00 PM,2:30 PM,1st semester ,2019-2020
