student_number,day,start_time,end_time,semester,academic year
1511018,Thursday,11:00 AM,12:30 PM,1st semester ,2019-2020
1511018,Thursday,12:00 PM,12:30 PM,1st semester ,2019-2020
1511018,Thursday,12:30 PM,12:30 PM,1st semester ,2019-2020
1513057,Thursday,13:00 pm,17:30 pm,1st semester ,2019-2020
1513057,Thursday,14:00 pm,17:30 pm,1st semester ,2019-2020
1513057,Thursday,15:00 pm,17:30 pm,1st semester ,2019-2020
1513057,Thursday,16:00 pm,17:30 pm,1st semester ,2019-2020
1513057,Thursday,17:00 pm,17:30 pm,1st semester ,2019-2020
1513057,Thursday,17:30 pm,17:30 pm,1st semester ,2019-2020
1511894,Thursday,15:30 pm,18:00 pm,1st semester ,2019-2020
1511894,Thursday,16:30 pm,18:00 pm,1st semester ,2019-2020
1511894,Thursday,17:30 pm,18:00 pm,1st semester ,2019-2020
1511894,Thursday,18:00 pm,18:00 pm,1st semester ,2019-2020
1813970,Thursday,11:00 AM,17:30 pm,1st semester ,2019-2020
1813970,Thursday,12:00 PM,17:30 pm,1st semester ,2019-2020
1813970,Thursday,16:00 pm,17:30 pm,1st semester ,2019-2020
1813970,Thursday,17:00 pm,17:30 pm,1st semester ,2019-2020
1813970,Thursday,17:30 pm,17:30 pm,1st semester ,2019-2020
1811045,Thursday,12:30 PM,18:00 pm,1st semester ,2019-2020
1811045,Thursday,13: 30 pm,18:00 pm,1st semester ,2019-2020
1811045,Thursday,16:30 pm,18:00 pm,1st semester ,2019-2020
1811045,Thursday,17:30 pm,18:00 pm,1st semester ,2019-2020
1811045,Thursday,18:00 pm,18:00 pm,1st semester ,2019-2020
1710267,Thursday,14:00 pm,17:30 pm,1st semester ,2019-2020
1710267,Thursday,15:00 pm,17:30 pm,1st semester ,2019-2020
1710267,Thursday,16:00 pm,17:30 pm,1st semester ,2019-2020
1710267,Thursday,17:00 pm,17:30 pm,1st semester ,2019-2020
1710267,Thursday,17:30 pm,17:30 pm,1st semester ,2019-2020
1810263,Thursday,9:30 AM,14:30 pm,1st semester ,2019-2020
1810263,Thursday,10:30 AM,14:30 pm,1st semester ,2019-2020
1810263,Thursday,14:00 pm,14:30 pm,1st semester ,2019-2020
1810263,Thursday,14:30 pm,14:30 pm,1st semester ,2019-2020
