student_number,day,start_time,end_time,semester,academic year
1511018,Tuesday,10:30 AM,13:00 PM,1st semester ,2019-2020
1511018,Tuesday,11:30 AM,13:00 PM,1st semester ,2019-2020
1511018,Tuesday,12:30 PM,13:00 PM,1st semester ,2019-2020
1511018,Tuesday,13:00 PM,13:00 PM,1st semester ,2019-2020
1513057,Tuesday,15:00 PM,18:00 PM,1st semester ,2019-2020
1511894,Tuesday,16:00 PM,18:00 PM,1st semester ,2019-2020
1511894,Tuesday,17:00 PM,18:00 PM,1st semester ,2019-2020
1511894,Tuesday,18:00 PM,18:00 PM,1st semester ,2019-2020
1813970,Tuesday,10:30 AM,18:00 PM,1st semester ,2019-2020
1813970,Tuesday,11:30 AM,18:00 PM,1st semester ,2019-2020
1813970,Tuesday,12:30 PM,18:00 PM,1st semester ,2019-2020
1813970,Tuesday,16:30 PM,18:00 PM,1st semester ,2019-2020
1813970,Tuesday,17:30 PM,18:00 PM,1st semester ,2019-2020
1813970,Tuesday,18:00 PM,18:00 PM,1st semester ,2019-2020
1211256,Tuesday,10:30 AM,19:30 PM,1st semester ,2019-2020
1211256,Tuesday,11:30 AM,19:30 PM,1st semester ,2019-2020
1211256,Tuesday,12:30 PM,19:30 PM,1st semester ,2019-2020
1211256,Tuesday,13:30 PM,19:30 PM,1st semester ,2019-2020
1211256,Tuesday,14:30 PM,19:30 PM,1st semester ,2019-2020
1211256,Tuesday,15:30 PM,19:30 PM,1st semester ,2019-2020
1211256,Tuesday,17:30 PM,19:30 PM,1st semester ,2019-2020
1211256,Tuesday,18:30 PM,19:30 PM,1st semester ,2019-2020
1211256,Tuesday,19:30 PM,19:30 PM,1st semester ,2019-2020
1811045,Tuesday,12:00 PM,18:00 PM,1st semester ,2019-2020
1811045,Tuesday,13:00 PM,18:00 PM,1st semester ,2019-2020
1811045,Tuesday,13:30 PM,18:00 PM,1st semester ,2019-2020
1811045,Tuesday,16:00 PM,18:00 PM,1st semester ,2019-2020
1811045,Tuesday,17:00 PM,18:00 PM,1st semester ,2019-2020
1811045,Tuesday,18:00 PM,18:00 PM,1st semester ,2019-2020
1810263,Tuesday,9:00 AM,17:00 PM,1st semester ,2019-2020
1810263,Tuesday,10:00 AM,17:00 PM,1st semester ,2019-2020
1810263,Tuesday,10:30 AM,17:00 PM,1st semester ,2019-2020
1810263,Tuesday,15:30,17:00 PM,1st semester ,2019-2020
1810263,Tuesday,16:30,17:00 PM,1st semester ,2019-2020
1810263,Tuesday,17:00,17:00 PM,1st semester ,2019-2020
1512280,Tuesday,16:30 PM,18:30 PM,1st semester ,2019-2020
1512280,Tuesday,17:30 PM,18:30 PM,1st semester ,2019-2020
1512280,Tuesday,18:30 PM,18:30 PM,1st semester ,2019-2020
1510269,Tuesday,9:00 AM,15:00 PM,1st semester ,2019-2020
1510269,Tuesday,10:00 AM,15:00 PM,1st semester ,2019-2020
1510269,Tuesday,11:00 AM,15:00 PM,1st semester ,2019-2020
1510269,Tuesday,12:00 PM,15:00 PM,1st semester ,2019-2020
1510269,Tuesday,13:00 PM,15:00 PM,1st semester ,2019-2020
1510269,Tuesday,14:00 PM,15:00 PM,1st semester ,2019-2020
1510269,Tuesday,15:00 PM,15:00 PM,1st semester ,2019-2020
1413348,Tuesday,18:30 PM,20:00 PM,1st semester ,2019-2020
1413348,Tuesday,19:30 PM,20:00 PM,1st semester ,2019-2020
1413348,Tuesday,20:00 PM,20:00 PM,1st semester ,2019-2020
1234567,Tuesday,15:00 PM,18:00 PM,1st semester ,2019-2020
1234567,Tuesday,16:00 PM,18:00 PM,1st semester ,2019-2020
1234567,Tuesday,17: 00 PM,18:00 PM,1st semester ,2019-2020
1234567,Tuesday,18:00 PM,18:00 PM,1st semester ,2019-2020
1511846,Tuesday,12:00 PM,18:00 PM,1st semester ,2019-2020
1511846,Tuesday,13:00 PM,18:00 PM,1st semester ,2019-2020
1511846,Tuesday,13:30 PM,18:00 PM,1st semester ,2019-2020
1511846,Tuesday,16:30 PM,18:00 PM,1st semester ,2019-2020
1511846,Tuesday,17:30 PM,18:00 PM,1st semester ,2019-2020
1511846,Tuesday,18:00 PM,18:00 PM,1st semester ,2019-2020
1510941,Tuesday,11:30 AM,16:30 PM,1st semester ,2019-2020
1510941,Tuesday,12:30 PM,16:30 PM,1st semester ,2019-2020
1510941,Tuesday,13:30 PM,16:30 PM,1st semester ,2019-2020
1510941,Tuesday,14:30:00 PM,16:30 PM,1st semester ,2019-2020
1510941,Tuesday,15:30 PM,16:30 PM,1st semester ,2019-2020
1510941,Tuesday,16:30 PM,16:30 PM,1st semester ,2019-2020
1810806,Tuesday,16:30 PM,19:30 PM,1st semester ,2019-2020
1810806,Tuesday,17:30 PM,19:30 PM,1st semester ,2019-2020
1810806,Tuesday,18:30 PM,19:30 PM,1st semester ,2019-2020
1810806,Tuesday,19:30 PM,19:30 PM,1st semester ,2019-2020
1511038,Tuesday,15:00 PM,21:00 PM,1st semester ,2019-2020
1511038,Tuesday,16:00 PM,21:00 PM,1st semester ,2019-2020
1511038,Tuesday,16:30 PM,21:00 PM,1st semester ,2019-2020
1511038,Tuesday,19:30 PM,21:00 PM,1st semester ,2019-2020
1511038,Tuesday,20:30 PM,21:00 PM,1st semester ,2019-2020
1511038,Tuesday,21:00 PM,21:00 PM,1st semester ,2019-2020
1812924,Tuesday,8:30 AM,17:30 PM,1st semester ,2019-2020
1812924,Tuesday,9:00 AM,17:30 PM,1st semester ,2019-2020
1812924,Tuesday,15:00 PM,17:30 PM,1st semester ,2019-2020
1812924,Tuesday,16:00 PM,17:30 PM,1st semester ,2019-2020
1812924,Tuesday,17:00 PM,17:30 PM,1st semester ,2019-2020
1812924,Tuesday,17:30 PM,17:30 PM,1st semester ,2019-2020
1812681,Tuesday,14:00 PM,17:00 PM,1st semester ,2019-2020
1812681,Tuesday,15:00 PM,17:00 PM,1st semester ,2019-2020
1812681,Tuesday,16:00 PM,17:00 PM,1st semester ,2019-2020
