student_number,start_time,end_time,day,semester,academic year
1511018,10:30 AM,13:30,Friday,1st semester ,2019-2020
1513057,14:00,17:00,Friday,1st semester ,2019-2020
1813970,7:30 AM,10:30 AM,Friday,1st semester ,2019-2020
1710267,13:00,16:00,Friday,1st semester ,2019-2020
1511846,18:00,21:00,Friday,1st semester ,2019-2020
1510941,18:00,21:00,Friday,1st semester ,2019-2020
1511038,14:00,17:00,Friday,1st semester ,2019-2020
1812924,12:00 PM,15:00,Friday,1st semester ,2019-2020
1812681,12:30 PM,15:30,Friday,1st semester ,2019-2020
1513415,14:30,17:30,Friday,1st semester ,2019-2020
1512327,19:30,22:30,Friday,1st semester ,2019-2020
1810972,8:30 AM,11:30,Friday,1st semester ,2019-2020
1811047,12:30 PM,15:30,Friday,1st semester ,2019-2020
1814012,7:30 AM,10:30 AM,Friday,1st semester ,2019-2020
1814111,11:00 AM,14:00,Friday,1st semester ,2019-2020
1811280,17:30,20:30,Friday,1st semester ,2019-2020
