ID,student_number,day,start_time,end_time,semester,date_created,academic year
1,1511018,Monday,9:30,11:00 AM,1,9/14/2019,2018-2019
2,1513057,Monday,1:30 PM,4:30 PM,1,9/14/2019,2018-2019
3,1511894,Monday,7:30 PM,9:30 PM,1,9/14/2019,2018-2019
4,1813970,Monday,8:30 AM,5:30 PM,1,9/14/2019,2018-2019
5,1211256,Monday,,,1,9/14/2019,2018-2019
6,1811045,Monday,2:30 PM,7:30 PM,1,9/14/2019,2018-2019
7,1710267,Monday,12:30 PM,6:30 PM,1,9/14/2019,2018-2019
8,1810263,Monday,13:30,4:30 PM,1,9/14/2019,2018-2019
9,1512280,Monday,1:30 PM,5:30 PM,1,9/14/2019,2018-2019
10,1510269,Monday,,,1,9/14/2019,2018-2019
11,1510114,Monday,,,1,9/14/2019,2018-2019
12,1413348,Monday,6:30 PM,8:00 PM,1,9/14/2019,2018-2019
13,,Monday,,,1,9/14/2019,2018-2019
14,1511846,Monday,,,1,9/14/2019,2018-2019
15,1510941,Monday,5:30 PM,6:30 PM,1,9/14/2019,2018-2019
16,1810806,Monday,9:30 AM,12:30 PM,1,9/14/2019,2018-2019
17,1511038,Monday,1:30 PM,4:30 PM,1,9/14/2019,2018-2019
18,1812924,Monday,11:00 AM,3:30 PM,1,9/14/2019,2018-2019
19,1812681,Monday,11:30 AM,3:30 PM,1,9/14/2019,2018-2019
20,1513415,Monday,1:30 PM,4:30 PM,1,9/14/2019,2018-2019
21,1512327,Monday,6:30 PM,9:30 PM,1,9/14/2019,2018-2019
22,1812644,Monday,1:30 PM,4:30 PM,1,9/14/2019,2018-2019
23,1810972,Monday,8:30 AM,5:30 PM,1,9/14/2019,2018-2019
24,1811047,Monday,12:00,9:30 PM,1,9/14/2019,2018-2019
25,1830026,Monday,10:30 AM,1:30 PM,1,9/14/2019,2018-2019
26,1814012,Monday,7:30 AM,8:00 PM,1,9/14/2019,2018-2019
27,1813690,Monday,8:30 AM,5:30 PM,1,9/14/2019,2018-2019
28,1814111,Monday,11:00 AM,1:30 PM,1,9/14/2019,2018-2019
29,1811280,Monday,5:00 PM,8:00 PM,1,9/14/2019,2018-2019
30,,Monday,11:00 AM,2:30 PM,1,9/14/2019,2018-2019
31,1813001,Monday,12:00 PM,2:30 PM,1,9/14/2019,2018-2019
