student_number,start_time,end_time,Thursday,1st semester ,academic year
1511018,11:00,14:00,Thursday,1st semester ,2019-2020
1513057,12:00,15:00,Thursday,1st semester ,2019-2020
1511894,15:30,18:30,Thursday,1st semester ,2019-2020
1813970,11:00,14:00,Thursday,1st semester ,2019-2020
1811045,13:30,16:30,Thursday,1st semester ,2019-2020
1710267,18:00,21:00,Thursday,1st semester ,2019-2020
1810263,9:30,12:30,Thursday,1st semester ,2019-2020
1510269,10:30,13:30,Thursday,1st semester ,2019-2020
1511846,12:00,15:00,Thursday,1st semester ,2019-2020
1510941,12:30,15:30,Thursday,1st semester ,2019-2020
1810806,8:30,11:30,Thursday,1st semester ,2019-2020
1812924,7:30,10:30,Thursday,1st semester ,2019-2020
1812681,14:00,17:00,Thursday,1st semester ,2019-2020
1513415,12:30,15:30,Thursday,1st semester ,2019-2020
1512237,15:30,18:30,Thursday,1st semester ,2019-2020
1812644,15:00,18:00,Thursday,1st semester ,2019-2020
1810972,7:30,10:30,Thursday,1st semester ,2019-2020
1811047,14:00,17:00,Thursday,1st semester ,2019-2020
1830026,17:00,20:00,Thursday,1st semester ,2019-2020
1814012,10:30,13:30,Thursday,1st semester ,2019-2020
1813690,9:00,11:00,Thursday,1st semester ,2019-2020
1811280,14:00,17:00,Thursday,1st semester ,2019-2020
1813001,11:30,14:30,Thursday,1st semester ,2019-2020
